l’âge,de leeftijd
Ik ga naar België.,Je vais en Belgique.
Ik ga naar Engeland.,Je vais en Angleterre.
Ik ga naar Spanje.,Je vais en Espagne.
Ik ga naar Tunesië.,Je vais en Tunisie.
Ik ga naar Luxemburg.,Je vais au Luxembourg.
Ik ga naar Denemarken.,Je vais au Danemark.
Ik ga naar Portugal.,Je vais au Portugal.
Ik ga naar Marokko.,Je vais au Maroc.
Ik ga naar Nederland.,Je vais aux Pays-Bas.
Ik ga naar de Verenigde Staten.,Je vais aux Etat-Unis.
Ça cartonne.,Het is een groot succes.
à cause de,wegens / vanwege
redoubler sa classe,blijven zitten
l’entretien,het onderhoud
tranquillement,rustig
descendre le boulevard,de boulevard aflopen / de boulevard afrijden
L’été a commencé!,De zomer is begonnen!
un motard,een motorrijder
une blague,een grapje / een grap
au pied de,aan de voet van
Fêtons!,Laten we vieren!
Taillons la route!,Op pad!
En avant toute!,Op volle kracht vooruit!
défier,uitdagen
un casque,een motorhelm
autour de,rondom
une vigne,een wijngaard
un olivier,een olijfboom
connu,bekend / beroemd
un virage,een bocht
il y avait,er was / er waren
une voiture,een wagen / een auto
au sommet de,in de top van / op de top van
j’ai défendu,ik heb verdedigd
encourager,aanmoedigen
cette course,deze wedstrijd / die wedstrijd
pittoresque,schilderachtig
un projet,een plan
le voilier,de zeilboot
quinze jours,twee weken
een motorfiets,une moto
een werkplaats,un atelier
vanavond,ce soir
ik hoor,j’entends
bewegen,bouger
het einde,la fin
zijn koffer inpakken,préparer sa valise
de rugzak,le sac à dos
we gaan eruit / we gaan uit,on sort / nous sortons
we vertrekken,on part / nous partons
Stel je voor!,Figure-toi!
Wees niet ongerust!,Ne t’inquiète pas!
de hele wereld,le monde entier
een wedstrijd,une course / un match
vieren,fêter / célébrer
een drankje,une boisson
voor (van tijd) / voor,avant
een vrouw,une femme / une dame
sinds,depuis
de hele familie,toute la famille
wanneer,quand
de aantekening,la note
trots zijn,être fier / être fière
iedereen,tout le monde
het geld,l’argent
Ik herinner me,Je me rappelle
Hoe heet ze?,Elle s’appelle comment?
Waar wonen jullie?,Où habitez-vous?
Wanneer zijn ze in Parijs?,Quand sont-ils à Paris?
Wie is dit?,Qui est-ce?
Hoe oud bent u?,Quel âge avez-vous?
Hoe laat kom je aan?,Tu arrives à quelle heure?
Het is super!,C’est super!
Het is leuk / tof!,C’est chouette!
Het is leuk!,C’est joli!
Het is lekker / goed.,C’est bon.
Het is heerlijk!,C’est délicieux!
Het is geweldig!,C’est top!
Het is niet slecht!,C’est pas mal!
Dat is goedkoop.,C’est bon marché.
Het staat me.,Ça me va.
Het is waardeloos!,C’est nul!
Het is lelijk!,C’est moche!
Het is niet leuk.,Ce n’est pas joli.
Het is verschrikkelijk.,C’est terrible.
Het is te groot.,C’est trop grand.
Het is te klein.,C’est trop petit.
Dat is duur.,C’est cher.
Het staat me niet.,Ça ne me va pas.
Ik vind het model wel leuk.,J’aime bien la coupe.
Ik houd van muziek.,J’aime la musique.
Ik ben dol op dansen.,J’adore danser.
Ik geef de voorkeur aan rugby.,Je préfère le rugby.
Ik vind de kleur niet zo leuk.,Je n’aime pas trop la couleur.
Ik houd niet van toneel.,Je n’aime pas le théâtre
un amour d’été,een zomerliefde
marié,getrouwd
grâce à,dankzij
trembler,beven
la peine,de moeite
le surnom,de bijnaam
Le pauvre!,De arme ziel!
inoubliable,onvergetelijk
la clé,de sleutel
perfectionner,verbeteren
Quoi faire?,Wat te doen?
le séjour,het verblijf
le centre sous-marin,het onderwatercentrum
des centaines,honderden
le bassin,de baai
comme promis,zoals beloofd
la supérette,het campingwinkeltje
des milliers,duizenden
la caméra étanche,de onderwatercamera
le volet,het luik
tout à fait,helemaal (juist)
le lendemain,de volgende dag
le chameau,de kameel
le charmeur de serpents,de slangenbezweerder
le tajine,de tajine (Marokkaans gerecht)
de geboorte,la naissance
het gezicht,le visage
ik zie,je vois
de koningin,la reine
dromen,rêver
"slank, dun",mince
naast,à côté de
vergeten,oublier
iedere avond,tous les soirs
ontvangen,accueillir
meenemen,emmener
bekijken,observer
de doop,le baptême
duiken,plonger
de staat,l’État
wensen,souhaiter
sturen,envoyer
stel je eens voor,imagine-toi
zonnig,ensoleillé
zoals gewoonlijk,comme d’habitude
zonnen,faire de la bronzette
op een dag,un jour
de warmte,la chaleur
Wat heb je gedaan?,Qu’est-ce que tu as fait?
Wat heeft hij gedaan?,Qu’est-ce qu’il a fait?
Wat heeft zij gedaan?,Qu’est-ce qu'elle a fait?
Wat hebben jullie gedaan / Wat heeft u gedaan?,Qu’est-ce que vous avez fait?
Wat hebben zij gedaan?,Qu’est-ce qu’ils ont fait?
Ik heb gevoetbald.,J’ai fait du foot.
Ik heb gedoken,J’ai fait de la plongée.
Ik heb gevist,J’ai fait de la pêche
Ik heb paardgereden.,J’ai fait du cheval.
We hebben wandelingen gemaakt.,Nous avons fait des promenades à pied.
We hebben een autotocht gemaakt.,Nous avons fait une balade en voiture.
Ik ben naar de bioscoop gegaan.,Je suis allé au cinéma.
Ik ben naar het strand gegaan.,Je suis allé à la plage.
Ik ben naar de disco gegaan.,Je suis allé à la disco.
Wat ga je doen?,Qu’est-ce que tu vas faire?
Ik ga een museum bezoeken.,Je vais visiter un musée.
Ik ga paardrijden.,Je vais faire du cheval.
Ik ga een fietstocht maken.,Je vais faire une promenade en vélo.
Wij gaan niet duiken.,Nous n’allons pas faire de plongée.
Wij gaan niet paardrijden.,Nous n’allons pas faire de cheval.
Waar ben je geweest?,Tu as été où?
Waar is hij geweest?,Il a été où?
"Meneer, waar bent u geweest?","Monsieur, vous avez été où?"
Waar zijn zij geweest?,Ils ont été où?
Ik ben in Frankrijk geweest.,J’ai été en France.
Hij is naar Marokko geweest.,Il a été au Maroc.
Ik ben in de VS geweest.,J’ai été aux États-Unis.
Zij zijn in Cap-Ferret geweest.,Ils ont été au Cap-Ferret.
Hoe was het?,C’était comment?
Het was geweldig.,C’était formidable.
Het was fantastisch.,C’était fantastique.
Het was super.,C’était super.
Het was leuk.,C’était chouette.
Het was cool.,C’était cool.
Het was niet slecht.,C’était pas mal.
Het was waardeloos.,C’était nul.
Het was saai.,C’était ennuyeux.
Het was gemakkelijk.,C’était facile.
Het was moeilijk.,C’était difficile.
Het was gevaarlijk.,C’était dangereux.
Het was heerlijk.,C’était délicieux.
lors de,tijdens
il soutient,hij steunt
changer de côté,van helft wisselen
mener,leiden
un coup franc,een vrije schop
un tir,een schot
le vantard,de opschepper
une folle soirée,een te gekke avond
je me rappelle,ik herinner me
marcher sur les pieds,op de tenen trappen
Taisez-vous!,Zwijg!
une vitrine,een etalage
le bip,het geluidssignaal
une peur bleue,een hevige angst
aplati,platgemaakt
prescrire,voorschrijven
Quelle misère!,Wat een ellende!
captivant,boeiend
le scotch,het plakband
la différence,het verschil
faire partie de,deel uitmaken van
l’équitation,het paardrijden
un club public,een openbare club
la superficie,de oppervlakte
élevé,hoog
l’essence,de benzine
être en train de,bezig zijn te
autre chose,iets anders
impeccable,onberispelijk
la condition,de voorwaarde
j’ai couru,ik heb gerend
l’endurance,het uithoudingsvermogen
de winnaar,le vainqueur
het net,le filet
scoren,marquer
sterk,fort
fluiten,siffler
herinneren aan,rappeler
het oog,l’oeil
de ogen,les yeux
zonder twijfel,sans doute
het antwoordapparaat,le répondeur
intikken,taper
belangrijkste,principal
een ster,une étoile
bang zijn voor,avoir peur de
onderzoeken,examiner
waarschijnlijk,probablement
met de post,par la poste
de volgende dag,le lendemain
rondom,autour de
een bijlage,une pièce jointe
een huiswerkopdracht,un devoir
boven,au-dessus de
breed,large
jammer genoeg,malheureusement
gelukkig,heureusement
geleden,il y a + tijd
verbeteren,améliorer
een paard,un cheval
de bril,les lunettes
de lenzen,les lentilles
de snelheid,la vitesse
ten slotte,finalement
Wat doen jullie op zaterdag en zondag?,Que faites-vous le samedi et le dimanche?
Meestal sporten wij.,"En général, nous faisons du sport."
Zijn jullie lid van een sportclub?,Êtes-vous inscrits dans un club de sport?
"Ja, wij zijn lid van een club.","Oui, nous sommes inscrits dans un club."
"Ja, wij zijn lid van een club A.","Oui, nous sommes inscrits dans le club A."
Wat voor sport doen jullie daar?,Quel sport y pratiquez-vous?
Wij voetballen daar.,Nous y pratiquons le football.
Wij handballen daar.,Nous y pratiquons  le handball.
Wij tennissen daar.,Nous y pratiquons le tennis.
Hoe verlopen de trainingen?,Comment se passent les séances d’entraînement?
Eerst is er een warming-up.,"D’abord, il y a l’échauffement."
Dan doen we techniek- en conditietraining.,"Puis, on fait des exercices techniques et physiques."
Tenslotte spelen we een partij / een wedstrijdje.,"Finalement, on joue une partie."
Ik voetbal.,Je fais du foot.
Ik hockey.,Je fais du hockey.
Ik basketbal.,Je fais du basket.
Ik judo.,Je fais du judo.
Ik tennis.,Je fais du tennis.
Ik handbal.,Je fais du handball.
Ik schaats.,Je fais du patinage.
Ik zwem.,Je fais de la natation.
Ik duik.,Je fais de la plongée.
Ik schaak.,Je joue aux échecs.
Ik dam.,Je joue aux dames.
Wat zijn je hobby’s?,Quels sont tes hobbies?
Mijn hobby’s zijn sport.,Mes passions sont le sport.
Mijn hobby’s zijn dansen.,Mes passions sont la danse.
Mijn hobby’s zijn muziek.,Mes passions sont la musique.
Mijn hobby’s zijn lezen.,Mes passions sont la lecture.
Mijn hobby’s zijn winkelen.,Mes passions sont le shopping.
Mijn hobby’s zijn videospelletjes.,Mes passions sont les jeux vidéo.
le bac,het eindexamen vwo
le feuilleton télévisé,de televisieserie
gentille,lief
sévère,streng
le potager,de moestuin
ça tombe bien,dat komt goed uit
faire le pont,een extra lang weekend nemen
j’ai vu,ik heb gezien
le cimetière,de begraafplaats
mort,gestorven
préoccupé,bezorgd
ils s’entendent bien,ze kunnen goed met elkaar opschieten
passer la nuit,de nacht doorbrengen
le gîte,het vakantiehuisje
la nouvelle compagne,de nieuwe levenspartner
le Moyen Âge,de middeleeuwen
le paiement,de betaling
la location,de locatie
en ligne,online
un aller simple,een enkele reis
un aller retour,een retourtje
incroyable,ongelofelijk
en cas de perte,in geval van verlies
faire opposition,blokkeren
impayable,onbetaalbaar
l’ascenseur,de lift
l’escalier roulant,de roltrap
de kleindochter,la petite-fille
de kleinzoon,le petit-fils
de zus,la soeur
de broer,le frère
de nicht,la cousine
"opbellen, roepen",appeler
gelijk hebben,avoir raison
rekenen op,compter sur
een vergissing,une erreur
bezig zijn te,être en train de
de stiefvader,le beau-père
de echtscheiding,le divorce
nodig hebben,avoir besoin de
graag,volontiers
het hart,le coeur
de gids,le guide
een fabriek,une usine
bevestigen,confirmer
bedanken,remercier
diep,profond
een (toegangs-)kaartje,un billet
Wat gebeurt er?,Qu’est-ce qui se passe?
hij is net vertrokken,il vient de partir
uitstappen,descendre
dichtbij,proche
Dat is Marie-Henriette.,C’est Marie-Henriette.
Dat is mijn grootvader.,C’est mon grand-père.
Dat is een nieuwe Franse film.,C’est un nouveau film français.
Dat is een geheime uitnodiging.,C’est une invitation secrète.
Kun je komen?,Tu peux venir?
Kunnen jullie komen? / Kunt u komen?,Vous pouvez venir?
Bedankt voor de uitnodiging.,Merci pour l’invitation.
"Ja, natuurlijk. Ik kom.","Oui, bien sûr. Je viens."
"Ja, wij komen.","Oui, nous venons."
"Ja, afgesproken.","Oui, d’accord."
"Ja, graag.","Oui, volontiers."
"Nee, ik kan niet komen.","Non, je ne peux pas venir."
"Nee, wij kunnen niet komen.","Non, nous ne pouvons pas venir."
"Nee, het spijt me.","Non, je regrette."
"Het spijt me erg, ik kan niet komen.","Désolé, je ne peux pas venir."
Het is een ding waarin je kunt logeren.,C’est un truc où on peut loger.
"Het is een ding waarin je kunt logeren, een huisje.","C’est un truc où on peut loger, un gîte."
Het is iets lekkers om te eten op een verjaardag.,C’est quelque chose de bon qu’on mange pour un anniversaire.
"Het is iets lekkers om te eten op een verjaardag, een taart.","C’est quelque chose de bon qu’on mange pour un anniversaire, un gâteau."
Het is een klein grijs dier.,C’est un petit animal gris.
"Het is een klein grijs dier, een muis.","C’est un petit animal gris, une souris."
Het is een persoon die goed zingt.,C’est une personne qui chante bien.
"Het is een persoon die goed zingt, een zanger.","C’est une personne qui chante bien, un chanteur."
"Het is een persoon die goed zingt, een zangeres.","C’est une personne qui chante bien, une chanteuse."
Hoe laat begint het feest?,La fête commence à quelle heure?
Hoe laat eindigt het feest?,La fête finit à quelle heure?
Het feest begint om acht uur.,La fête commence à huit heures.
Het feest eindigt om elf uur.,La fête finit à onze heures.
De wedstrijd begint om 15 uur en eindigt om 16 uur 45.,Le match commence à 15 heures et il finit à 16 heures 45.
De les is van drie tot vier uur.,Le cours est de trois heures à quatre heures.
Het restaurant is geopend vanaf zes uur tot tien uur.,Le restaurant est ouvert à partir de six heures jusqu’à dix heures.
De vakantie duurt van 16 tot 25 februari.,Les vacances durent du 16 au 25 février.
la fiancée,de verloofde
la ville natale,de geboortestad
le décès,het overlijden
l’association,de vereniging
une radio,een röntgenfoto
aux urgences,naar de eerste hulp
la guirlande,de slinger
la sono,de geluidsinstallatie
un escabeau,een keukentrapje
Pas de souci!,Maak je geen zorgen!
Aïe!,Au!
accueillir,ontvangen
Serrez les dents!,Zet je tanden op elkaar!
prévenir,op de hoogte stellen
les cannes anglaises,de krukken
guérir,genezen
le plâtre,het gips
Quelle malchance!,Wat een pech!
se sentir,zich voelen
la rage,de hondsdolheid
le distributeur,het nummertjesapparaat
la goutte,de druppel
Au suivant!,Wie volgt?
courir,rennen
un pansement,een pleister
appliquer,aanbrengen
un coup de soleil,een zonnebrand
une gastro,een buikgriepje
une armoire à pharmacie,een medicijnkastje
les intestins,de darmen
blanc comme un linge,doodsbleek
la marche,de trede
une entorse,een verstuiking
s’appuyer sur,steunen op
enlever,uitdoen
gonflé,opgezwollen
s’allonger,languit gaan liggen
un mal fou,enorm veel pijn
oprichten,fonder
misselijk zijn,avoir mal au coeur
een ongeluk,un accident
een gebroken been,une jambe cassée
de woonkamer,le séjour
verplaatsen,déplacer
pijn hebben aan,avoir mal à
Help!,Au secours!
een vrachtwagen,un camion
aanraken,toucher
de pijn,la douleur
een doktersrecept,une ordonnance
een breuk,une fracture
verzorgen,soigner
liggen,être couché
de keel,la gorge
de koorts,la fièvre
een blaar,une ampoule
de apotheek,la pharmacie
trekken,tirer
het oor,l’oreille
iets,quelque chose
de neus,le nez
de schouder,l’épaule
(ver)branden,brûler
de mug,le moustique
missen,rater
de enkel,la cheville
vermijden,éviter
"de hals, de nek",le cou
Wat is er?,Qu’est-ce qu’il y a?
Wat scheelt eraan?,Qu’est-ce qui ne va pas?
Heeft u koorts?,Vous avez de la fièvre?
Ik neem uw temperatuur op.,Je prends votre température.
Waar heeft u pijn?,Où avez-vous mal?
Ik schrijf een recept uit.,Je fais une ordonnance.
Je moet in bed blijven.,Il faut rester au lit.
Je moet rust nemen.,Il faut rester se reposer.
Ik voel me ziek.,Je me sens malade.
Ik ben gewond.,Je suis blessé.
"Ja, ik heb koorts.","Oui, j’ai de la fièvre."
"Nee, ik heb geen koorts.","Non, je n’ai pas de fièvre."
Dat weet ik niet.,Je ne sais pas.
Ik heb pijn aan / in …,J’ai mal à …
Ja.,Oui.
Nee.,Non.
Een beetje.,Un peu.
Heeft u verband.,Avez-vous des bandages.
Heeft u zonnebrandcrème?,Avez-vous de la crème solaire?
Heeft u keeltabletten?,Avez-vous des pastilles pour la gorge?
Heeft u een gel tegen insectenbeten?,Avez-vous un gel contre les piqûres d’insectes?
Drie keer per dag een tablet innemen.,Prendre un comprimé trois fois par jour.
"Voor de maaltijd, na de maaltijd.","Avant le repas, après le repas."
Niet tijdens de maaltijd innemen.,À prendre en dehors des repas.
Uitwendig gebruik.,Usage externe.
Ik ben door een wesp gestoken.,Une guêpe m’a piqué.
Ik ben door een  bij gestoken.,Une abeille m’a piqué.
le service militaire,de militaire dienst
le traîneau,de slee
la Laponie,Lapland
tonton,oompje
le spectacle,het schouwspel
les gradins,de tribune
l’otarie,de zeeleeuw
le chapiteau,de circustent
le spectateur,de toeschouwer
le bâtiment,het gebouw
le réseau,het netwerk
le piège,de valstrik
la fourrure,de vacht
les provisions,de levensmiddelen
le loup,de wolf
l’espace,de ruimte
le renard,de vos
le lièvre,de haas
le renne,het rendier
la corne,de hoorn
argenté,zilverkleurig
recommander,aanraden
l’espèce,de soort
menacer,bedreigen
disparu,verdwenen
d’en haut,van boven
de schrijver,l’écrivain
de zorg,le souci
horen,entendre
lievelings-,préféré
de haan,le coq
helemaal,tout à fait
zin hebben om te,avoir envie de
"boffen, geluk hebben",avoir de la chance
gebouwd,construit
want,car
beschrijven,décrire
het landschap,le paysage
schattig,adorable
hij leeft,il vit
doden,tuer
de huid,la peau
grappig,drôle
aanpassen,adapter
verdragen,supporter
in de rij staan,faire la queue
de plattegrond,le plan
de folder,le dépliant
dat rijmt,ça rime
vermoeiend,fatigant
Pardon mevrouw.,"Pardon, madame"
Pardon meneer.,"Pardon, monsieur."
"Hoe kom ik bij het metrostation, alstublieft?","Pour aller à la station de métro, s’il vous plaît?"
Waar is het circus precies?,"Le cirque, c’est où exactement?"
"Wilt u het herhalen, alstublieft?","Voulez-vous répéter, s’il vous plaît?"
U gaat naar links.,Vous allez à gauche.
U gaat naar rechts.,Vous allez à droite.
U gaat rechtdoor.,Vous allez tout droit.
U slaat af naar rechts.,Vous tournez à droite.
U slaat af naar links.,Vous tournez à gauche.
U neemt de tweede straat  naar links.,Vous prenez la deuxième rue à gauche.
U gaat door tot aan het stoplicht.,Vous continuez jusqu’au feu rouge.
U steekt de straat over.,Vous traversez la rue.
U steekt de brug over.,Vous traversez le pont.
U steekt het plein over.,Vous traversez la place.
U loopt 200 meter door in de straat.,Vous suivez la rue sur 200 mètres.
U loopt langs de gracht.,Vous longez le canal.
U loopt langs de rivier.,Vous longez la rivière.
U loopt voor het postkantoor langs.,Vous passez devant la poste.
U loopt achter het postkantoor langs.,Vous passez derrière la poste.
"Aan uw rechterzijde, is er …. .","Sur votre droite, il y a …"
"Aan uw linkerzijde, is er …. .","Sur votre gauche, il y a …"
in,dans
voor,devant
links van,à gauche de
rechts van,à droite de
tegenover,en face de
"midden in, midden op",au milieu de
vlakbij,près de
ver van,loin de
binnen,dedans
buiten,dehors
naast de ingang,à côté de l’entrée
rechts van het station,à droite de la gare
links van de supermarkt,à gauche du supermarché
langs de rivier,le long de la rivière
tussen de twee winkels,entre les deux magasins
vlakbij de bergen,près des montagnes
ver van zijn vrienden,loin de ses amis
boven de deur,au-dessus de la porte
onder nul,au-dessous de zéro
in het midden van het plein,au milieu de la place
Voor mij … .,"Pour moi, … ."
"Naar mijn mening, … .","À mon avis, … ."
Helemaal mee eens.,Tout à fait.
Natuurlijk.,Bien sûr.
Ik ben het ermee eens.,Je suis d’accord.
Dat is mogelijk.,C’est possible.
Vast wel.,Sans doute.
"Nee, ...","Non, ..."
Ik vind van niet.,Je ne trouve pas.
Ik denk het niet.,Je ne pense pas.
Ik ben het er niet mee eens.,Je ne suis pas d’accord.
Dat is niet waar.,Ce n’est pas vrai.
Absoluut niet.,Absolument pas.
le cuisinier,de kok
le propriétaire,de eigenaar
le couteau,het mes
la fourchette,de vork
la cuillère,de lepel
être prêt à,klaar zijn om
un annuaire,een telefoongids
un trésor,een schat
un accro,een verslaafde
Je salive déjà!,Het water loopt me al in de mond!
Quelle cuisson?,Hoe wilt u het gebakken hebben?
bien cuit,doorbakken
apporter,brengen
fameux,beroemd
un plat principal,een hoofdgerecht
une gourmandise,een lekkernij
cuire,koken
peler,schillen
hacher,fijnhakken
dorer,lichtbruin bakken
mijoter,sudderen
la friandise,het snoepgoed
pourtant,toch
collant,plakkerig
un goût,een smaak
non-alcoolisé,alcoholvrij
la chaleur,de hitte
une serre,een kas
mettre,neerzetten
le goûter,het vieruurtje
Smakelijk eten!,Bon appétit!
een kopje,une tasse
(ontbijt)granen,des céréales
geraspte worteltjes,des carottes râpées
aardappels,des pommes de terre
zoeken,chercher
de kalender,le calendrier
een vraag,une question
tikken,taper
een eend,un canard
een garnaal,une crevette
"aanbieden, voorstellen",proposer
een gerecht,un plat
de vis,le poisson
verboden,interdit
een tv-uitzending,une émission télé
een gebakje,un petit gâteau
een ui,un oignon
het milieu,l’environnement
zacht,mou
proeven,goûter
de rekening,l'addition
dorst hebben,avoir soif
een kwartier,un quart d’heure
een bolletje,une boule
delen,partager
Gaan we iets drinken?,On va boire quelque chose?
Gaan we iets eten?,On va manger quelque chose?
Ik nodig je uit om naar het  restaurant te gaan.,Je t’invite au restaurant.
Ik nodig je uit om naar het café te gaan.,Je t’invite au café.
"Twee koffie, alstublieft.","Deux cafés, s’il vous plaît."
Ik neem een cola.,Je prends un coca.
Ik neem een Orangina.,Je prends un Orangina.
Ik wil graag een muntthee.,Je voudrais un thé à la menthe.
"De rekening, alstublieft.","L’addition, s’il vous plaît."
Je roept de ober.,"Monsieur, s’il vous plaît."
Je roept de serveerster.,"Madame, s’il vous plaît."
We hebben een tafel gereserveerd op naam van … .,Nous avons réservé une table au nom de … .
We zijn met z’n vieren.,Nous sommes quatre… .
We zijn met z’n zessen.,Nous sommes six … .
"Mag ik de kaart, alstublieft?","Je voudrais la carte, s’il vous plaît."
Als toetje/dessert neem ik ... .,"Comme dessert, je prends … ."
Op jullie gezondheid. /Proost.,À votre santé.
Smakelijk eten.,Bon appétit.
"Sorry, meneer … . We hebben ook … besteld.","Pardon, monsieur... . On a commandé aussi … ."
"Sorry, mevrouw … . We hebben ook … besteld.","Pardon, madame ... . On a commandé aussi … ."
Ik heb geen … besteld.,Je n’ai pas commandé … .
Mijn steak is te gaar.,Mon steak est trop cuit.
Mijn steak is te rauw.,Mon steak est pas assez cuit.
Mijn frietjes zijn te zout.,Mes frites sont trop salées.
Mijn hotdog is koud.,Mon hot-dog est froid.
Er is een fout in de rekening.,Il y a une erreur dans l’addition.
Dat is heerlijk!,C’est délicieux!
Dat is uitstekend!,C’est excellent!
Ik ben er dol op!,J’adore ça!
Ik ben gek op ...,Je suis fou de ...
Ik houd ervan.,J’aime ça.
Het is lekker.,C’est bon.
Het is wel ok.,C’est correct.
"Ach, het gaat wel.","Bof, ça va."
Ik vind het helemaal niet lekker.,Je n’aime pas du tout ça.
"Het is vies, walgelijk.",C’est dégoûtant.
la cire,de was
la marraine,de beschermvrouw
je vis,ik woon
s’envoler,wegvliegen
une main collante,een plakhand
perdre confiance,je zelfvertrouwen verliezen
fixer,strak aankijken
être baba,er paf van staan
être doué pour,aanleg hebben voor
avec impatience,ongeduldig
entouré de,omringd door
le professionnel,de professional
au loin,in de verte
aux côtés de,aan de zijde van
la peau,de huid
le batteur,de drummer
les balances,de soundcheck
la récompense,de beloning
l’annonce,de advertentie
accorder,stemmen
bouclé,gekruld
désolé,het spijt me
charger,opladen
brancher,aansluiten
se rafraîchir,zich opfrissen
avoir le trac,zenuwachtig zijn
een vogel,un oiseau
gehaast,pressé
de oever,le bord
de brug,le pont
gek,fou
de vreugde,la joie
de gang,le couloir
gouden,en or
verlegen,timide
domme dingen zeggen,dire des bêtises
de tree,la marche
zich verplaatsen,se déplacer
zich redden,se débrouiller
trainen,s’entraîner
"bewaren, houden",garder
aarzelen,hésiter
wakker worden,se réveiller
zich aankleden,s’habiller
noteren,noter
een afspraak maken,fixer un rendez-vous
eruit zien,avoir l’air
bovendien,en plus
het busje,la camionnette
een vraag stellen,poser une question
opnemen,enregistrer
Drie dagen geleden heb ik een mooie film op tv gezien.,"Il y a trois jours, j’ai vu un beau film à la télé."
De auditie is over twee weken.,L’audition est dans deux semaines.
Het is mooi. (uiterlijk),C’est beau.
Het is indrukwekkend.,C’est impressionant.
Het is heel mooi. (uiterlijk),C’est très joli.
Het is gaaf.,C’est génial.
Het is te cool.,C’est cool.
Het is aardig / Het is gezellig,C’est sympa.
Het is boeiend / spannend.,C’est captivant.
Het is geweldig.,C’est formidable.
Het is fantastisch.,C’est fantastique.
Het is gemakkelijk.,C’est facile.
"Het is ongelooflijk. ± (gaat wel, neutraal)",C’est incroyable.
Het is normaal.,C’est normal.
Het is gewoon.,C’est ordinaire.
Het is dom.,C’est bête.
Het is lastig.,C’est embêtant.
Het is vervelend.,C’est ennuyeux.
Het is moeilijk.,C’est difficile.
Het is vreselijk.,C’est horrible.
Het is gevaarlijk.,C’est dangereux.
Het is kalm.,C’est calme.
Het is rustig.,C’est tranquille.
"Ach, dat gaat wel.","Bof, ça va."
De leraar is erg streng.,Le prof est très sévère.
Mevrouw Lecours is aardig.,Madame Lecours est gentille.
Die zanger ziet er goed uit.,Ce chanteur a l’air bien.
De filmster speelt erg goed.,La vedette joue très bien.
Is het waar?,C’est vrai?
Het is niet waar!,Ce n’est pas vrai!
"Oh nee, ik niet!","Ah non, pas moi!"
Oh!,Ah bon!
"Wat vind je leuker, rap of jazz?","Qu’est-ce que tu préfères, le rap ou le jazz?"
Ik vind rap leuker.,Je préfère le rap.
l’enfance,de kindertijd
l’autre bout de,de andere kant van
Pas de soucis.,Maak je geen zorgen.
au coeur de,in het hart van
sauvage,wild
une contrepartie,een tegenprestatie
une baleine,een walvis
draguer,versieren
fonder,stichten
le décalage horaire,het tijdsverschil
un vide-grenier,een rommelmarkt
naître,ontstaan
devoir à,te danken hebben aan
cela ne suffit pas,dat is niet voldoende
conseiller,aanraden
le contrôle de sûreté,de veiligheidscontrole
en correspondance,op doorreis
vis-à-vis,tegenover
une borne,een incheckautomaat
directement,rechtstreeks
un bracelet,een armband
une montre,een horloge
de grens,la frontière
de richting,la direction
de kosten,les frais
eerlijk gezegd,franchement
het verschil,la différence
eigenaardig,bizarre
de vuilnisbak,la poubelle
een kusje,un bisou
beloven,promettre
trots zijn op,être fier de
zich herinneren,se souvenir
zich afspelen,se passer
in de open lucht,en plein air
het weerbericht,la météo
een minderjarige,un mineur
inchecken,enregistrer
elkaar zien,se retrouver
het perron,le quai
instappen,monter
hopen,espérer
leiden,mener
uittrekken (schoenen),retirer
terugnemen,reprendre
het instappen,l’embarquement
Het weerbericht van vandaag.,La météo d’aujourd’hui.
Het is mooi weer.,Il fait beau.
Het is 24 graden.,Il fait 24 degrés.
Het is warm.,Il fait chaud.
Het is mistig.,Il fait du brouillard.
Het weerbericht van gisteren.,La météo d’hier.
Het was 5 graden.,Il faisait 5 degrés.
Het was warm.,Il faisait chaud.
Het was mistig.,Il faisait du brouillard.
"Pardon, sorry?",Pardon?
Ik begrijp het niet.,Je ne comprends pas.
"Niet zo vlug, alstublieft.","Pas si vite, s’il vous plaît."
Wilt u langzaam spreken alstublieft?,"Voulez-vous parler lentement, s’il vous plaît?"
Een ogenblik alstublieft.,"Un moment, s’il vous plaît."
Ik moet erover nadenken.,Je dois réfléchir.
Ik weet het nog niet.,Je ne sais pas encore.
Ik aarzel tussen … en … .,J’hésite entre … et ... .
"Pardon, mevrouw.","Pardon, madame."
"Pardon, meneer.","Pardon, monsieur."
Waar is de incheckbalie?,Où est le comptoir d’enregistrement?
Waar kan ik de bagage afgeven?,Je voudrais déposer mes bagages. C’est où?
Hier is mijn instapkaart.,Voilà ma carte d’embarquement.
Hier is mijn paspoort.,Voilà mon passeport.
Waar kan ik geld opnemen?,Où est-ce que je peux retirer de l’argent?
Waar is terminus 2E?,Où est le terminus 2E?
Waar is vertrekhal A?,Où est le hall de départ A?
Waar staan de taxi’s?,Où se trouvent les taxis?
Waar staan de bussen?,Où se trouvent les bus?
Waar staan de auto's?,Où se trouvent les cars?
Hoeveel vertraging heeft mijn vlucht?,Mon vol a combien de retard?
Ik heb mijn aansluiting gemist.,J’ai raté ma correspondance.
Mijn koffer is niet aangekomen.,Ma valise n’est pas arrivée.
Ik heb mijn … verloren.,J’ai perdu mon … .
border,grenzen aan
quant à,wat betreft
rarement,zelden
